Expenditure on Completed and On-going Works as on Date,,,,,,,,,,
Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
9223,Haryana,Construction of additional rooms and halls in the existing public and community building,WS/MP18062/2025-2026/188088,JIND(DEPUTY COMMISSIONER JIND),JAI PARKASH,HISAR,19-May-2026,Ranglar Private Limited,Payment Success,47200
9224,Haryana,Construction of additional rooms and halls in the existing public and community building,WS/MP18062/2025-2026/188088,JIND(DEPUTY COMMISSIONER JIND),JAI PARKASH,HISAR,19-May-2026,Ranglar Private Limited,Payment Success,21712
9225,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP770/2025-2026/232542,KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA),Sanjay Kumar Bandi,KARIMNAGAR,29-Jun-2026,SHIVARATHRI NARESH,Payment Success,216832
9226,Haryana,Installation of multi-gym equipment,WS/MP329/2026-2027/197755,BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani),Shri  Dharambir Singh,BHIWANI MAHENDRAGARH,07-Apr-2026,Shiv Naresh Sprots PVT LTD,Payment Success,500000
9227,Haryana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP431/2025-2026/260733,REWARI(District Commissioner Rewari),Rao Inderjit Singh,GURGAON,03-Jul-2026,Gram Panchayat Bamber,Payment Success,1097460
9228,Haryana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP431/2025-2026/240933,REWARI(District Commissioner Rewari),Rao Inderjit Singh,GURGAON,07-Apr-2026,Gram Panchayat Bamber,Payment Success,998674
9229,Maharashtra,Construction of community centers and community halls,WS/MP18111/2026-2027/188362,AKOLA(DISTRICT COLLECTOR AKOLA_IDA),ANUP SANJAY DHOTRE,AKOLA,07-Apr-2026,ANUPSINGH VIJAYSINGH RAJPUT,Payment Success,586926
9230,Rajasthan,Construction of common work sheds/ common covered sitting area,WS/MP728/2025-2026/259882,HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA),Rahul Kaswan,CHURU,14-Apr-2026,ROHIT INDUSTRIES,Payment Success,486533
9231,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP728/2025-2026/262940,HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA),Rahul Kaswan,CHURU,14-Apr-2026,ROHIT INDUSTRIES,Payment Success,526997
9232,Odisha,Construction of community centers and community halls,WS/MP18143/2025-2026/253726,Jajpur(DISTRICT COLLECTOR JAJPUR_IDA),RABINDRA NARAYAN BEHERA,JAJPUR(SC),04-Apr-2026,GITASHREE BEHERA,Payment Success,300000
9233,Odisha,Construction of community centers and community halls,WS/MP18143/2026-2027/271939,Jajpur(DISTRICT COLLECTOR JAJPUR_IDA),RABINDRA NARAYAN BEHERA,JAJPUR(SC),18-Jun-2026,GITASHREE BEHERA,Payment Success,500000
9234,Maharashtra,Construction of public libraries and reading rooms,WS/MP18369/2025-2026/177575,YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA),Sanjay Uttamrao Deshmukh,YAVATMAL-WASHIM,08-Apr-2026,SHRI DEVKRUPA COMSTRUCTION COMPANY,Payment Success,976951
9235,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18369/2026-2027/226226,YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA),Sanjay Uttamrao Deshmukh,YAVATMAL-WASHIM,13-Aug-2026,SHRI DEVKRUPA COMSTRUCTION COMPANY,Payment Success,487119
9236,Haryana,"Patrolling Vehicles to government institution for Public Conveniences, Safety and Security",WS/MP18062/2025-2026/202993,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),JAI PARKASH,HISAR,10-Apr-2026,Premi Arts,Payment Success,5900
9237,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/208009,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,04-Apr-2026,DEVARAM,Payment Success,12750
9238,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/208009,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,04-Apr-2026,GANESHI,Payment Success,4455
9239,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/208009,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,04-Apr-2026,GUMANI,Payment Success,4455
9240,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/208009,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,04-Apr-2026,JAI SINGH,Payment Success,12750
9241,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/208009,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,04-Apr-2026,JEETRAM MEGHWANSHI,Payment Success,12750
9242,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/208009,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,04-Apr-2026,KALU RAM CHOUDHARY,Payment Success,4455
9243,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/208009,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,04-Apr-2026,KAMLESH GURJAR,Payment Success,4455
9244,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/208009,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,04-Apr-2026,KARTAR,Payment Success,12750
9245,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/208009,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,04-Apr-2026,LALARAM MEGHWANSHI,Payment Success,12750
9246,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/208009,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,04-Apr-2026,MATRA DEVI,Payment Success,4455
9247,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/208009,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,04-Apr-2026,MEVARAM,Payment Success,9350
9248,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/208009,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,04-Apr-2026,NAHAR SINGH,Payment Success,12750
9249,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/208009,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,04-Apr-2026,RAMAVATAR,Payment Success,12750
9250,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/208009,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,04-Apr-2026,RANGLAL,Payment Success,12750
9251,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/208009,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,04-Apr-2026,SEETA DEVI BHAMBHI,Payment Success,4455
9252,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/208009,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,04-Apr-2026,SHANKAR GURJAR,Payment Success,12750
9253,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/208009,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,04-Apr-2026,SUNIL GURJAR,Payment Success,12750
9254,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/208009,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,04-Apr-2026,sumitra devi,Payment Success,4455
9255,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/208009,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,04-Apr-2026,deepak vaishnav,Payment Success,4455
9256,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/208009,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,04-Apr-2026,gunjan,Payment Success,4455
9257,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/208009,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,04-Apr-2026,rahul,Payment Success,12750
9258,Maharashtra,Construction of community centers and community halls,WS/MP18114/2025-2026/157492,BEED(DISTRICT COLLECTOR BEED_IDA),BAJRANG MANOHAR SONWANE,BEED,04-Apr-2026,YOGESHWARI MAJOOR SAHAKARI SANSTHA LIMITED MANGWADGAON,Payment Success,995447
9259,Assam,Construction of rooms and halls in school and colleges,WS/MP18024/2025-2026/217070,SIVASAGAR(Deputy Commissioner Sivsagar_IDA),GAURAV GOGOI,JORHAT,08-Apr-2026,NAGEN HAZARIKA,Payment Success,500000
9260,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP526/2025-2026/258217,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Y S Avinash Reddy,KADAPA,04-Apr-2026,SAHEBJAN SHAIK,Payment Success,998655
9261,Andhra Pradesh,Construction of buildings for community cultural activities,WS/MP526/2025-2026/257274,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Y S Avinash Reddy,KADAPA,11-May-2026,SAHEBJAN SHAIK,Payment Success,199285
9262,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP526/2025-2026/257247,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Y S Avinash Reddy,KADAPA,11-May-2026,SAHEBJAN SHAIK,Payment Success,199585
9263,Telangana,Installing tube-wells and borewells,WS/MP18187/2026-2027/222661,ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),GODAM NAGESH,ADILABAD(ST),05-Apr-2026,Gouru Karthik,Payment Success,195552
9264,Telangana,Installing tube-wells and borewells,WS/MP18187/2026-2027/222662,ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),GODAM NAGESH,ADILABAD(ST),05-Apr-2026,Gouru Karthik,Payment Success,195993
9265,Telangana,Installing tube-wells and borewells,WS/MP18187/2026-2027/222643,ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),GODAM NAGESH,ADILABAD(ST),05-Apr-2026,Gouru Karthik,Payment Success,145356
9266,Telangana,Installing tube-wells and borewells,WS/MP18187/2026-2027/222658,ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),GODAM NAGESH,ADILABAD(ST),05-Apr-2026,Gouru Karthik,Payment Success,146530
9267,Telangana,Installing tube-wells and borewells,WS/MP18187/2026-2027/222652,ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),GODAM NAGESH,ADILABAD(ST),05-Apr-2026,Gouru Karthik,Payment Success,146530
9268,Himachal Pradesh,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",WS/MP18069/2025-2026/169015,CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA),RAJEEV BHARDWAJ,KANGRA,13-Aug-2026,GRAM PANCHAYAT KHANORA,Payment Success,50000
9269,Himachal Pradesh,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",WS/MP18069/2025-2026/169028,CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA),RAJEEV BHARDWAJ,KANGRA,07-Apr-2026,GRAM PANCHAYAT KHANORA,Payment Success,100000
9270,Himachal Pradesh,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18069/2025-2026/239714,CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA),RAJEEV BHARDWAJ,KANGRA,07-Apr-2026,GRAM PANCHAYAT SIHUNTA,Payment Success,120000
9271,Himachal Pradesh,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",WS/MP18069/2025-2026/165936,CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA),RAJEEV BHARDWAJ,KANGRA,07-Apr-2026,GRAM PANCHAYAT JIYUNTA,Payment Success,90000
9272,Jammu And Kashmir,Construction of footpaths and pedestrian ways,WS/MP600/2025-2026/237650,DODA(Deputy Commissioner Doda_IDA),Jitendra Singh,UDHAMPUR,18-Jun-2026,Mangta Sheikh,Payment Success,131000
9273,Jammu And Kashmir,Construction of boundary walls of existing public and community buildings,WS/MP600/2025-2026/237648,DODA(Deputy Commissioner Doda_IDA),Jitendra Singh,UDHAMPUR,17-Jun-2026,Mangta Sheikh,Payment Success,125000
9274,Odisha,Construction of water tanks,WS/MP18142/2025-2026/187274,JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA),BIBHU PRASAD TARAI,JAGATSINGHPUR(SC),07-Apr-2026,NIMAIN ROUL,Payment Success,239300
9275,Andhra Pradesh,Development of public parks,WS/MP18005/2025-2026/235656,Bapatla(DISTRICT COLLECTOR BAPATLA_IDA),Krishna Prasad Tenneti,BAPATLA,16-Apr-2026,SS PLAY FIT AND GYM,Payment Success,485193
9276,Punjab,Development of public parks,WS/MP18152/2025-2026/258310,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,FARIDKOT(SC),06-Apr-2026,J S ENTERPRISES,Payment Success,79954
9277,Uttarakhand,Construction of common work sheds/ common covered sitting area,WS/MP021/2025-2026/250051,Udham Singh Nagar(DISTRICT MAGISTRATE UDHAMSINGH NAGAR_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,18-Aug-2026,S K CONTRACTOR,Payment Success,71919
9278,Uttarakhand,Construction of common work sheds/ common covered sitting area,WS/MP021/2025-2026/250051,Udham Singh Nagar(DISTRICT MAGISTRATE UDHAMSINGH NAGAR_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,07-Apr-2026,S K CONTRACTOR,Payment Success,225000
9279,Uttarakhand,Construction of footpaths and pedestrian ways,WS/MP478/2025-2026/243399,Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,10-Apr-2026,SUBASH,Payment Success,7056
9280,Uttarakhand,Construction of footpaths and pedestrian ways,WS/MP478/2025-2026/243399,Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,10-Apr-2026,SUBASH,Payment Success,7056
9281,Uttarakhand,Construction of footpaths and pedestrian ways,WS/MP478/2025-2026/243399,Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,10-Apr-2026,PUSHPA DEVI,Payment Success,7056
9282,Uttarakhand,Construction of footpaths and pedestrian ways,WS/MP478/2025-2026/243399,Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,10-Apr-2026,PUSHPA DEVI,Payment Success,7056
9283,Uttarakhand,Construction of footpaths and pedestrian ways,WS/MP478/2025-2026/243399,Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,10-Apr-2026,ROHAN,Payment Success,7056
9284,Uttarakhand,Construction of footpaths and pedestrian ways,WS/MP478/2025-2026/243399,Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,10-Apr-2026,ROHAN,Payment Success,7056
9285,Uttarakhand,Construction of footpaths and pedestrian ways,WS/MP478/2025-2026/243399,Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,10-Apr-2026,ARTHI DEVI,Payment Success,7056
9286,Uttarakhand,Construction of footpaths and pedestrian ways,WS/MP478/2025-2026/243399,Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,10-Apr-2026,ARTHI DEVI,Payment Success,7056
9287,Uttarakhand,Construction of footpaths and pedestrian ways,WS/MP478/2025-2026/243399,Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,10-Apr-2026,NEHA,Payment Success,7056
9288,Uttarakhand,Construction of footpaths and pedestrian ways,WS/MP478/2025-2026/243399,Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,10-Apr-2026,NEHA,Payment Success,7056
9289,Uttarakhand,Construction of footpaths and pedestrian ways,WS/MP478/2025-2026/243399,Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,10-Apr-2026,ASHISH,Payment Success,7056
9290,Uttarakhand,Construction of footpaths and pedestrian ways,WS/MP478/2025-2026/243399,Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,10-Apr-2026,ASHISH,Payment Success,7056
9291,Uttarakhand,Construction of footpaths and pedestrian ways,WS/MP478/2025-2026/243399,Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,10-Apr-2026,NITIN SINGH,Payment Success,7056
9292,Uttarakhand,Construction of footpaths and pedestrian ways,WS/MP478/2025-2026/243399,Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,10-Apr-2026,NITIN SINGH,Payment Success,7056
9293,Uttarakhand,Construction of footpaths and pedestrian ways,WS/MP478/2025-2026/243399,Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,10-Apr-2026,SAUMYA,Payment Success,7056
9294,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18132/2025-2026/189856,SANGLI(DISTRICT COLLECTOR SANGLI_IDA),VISHAL,SANGLI,07-Apr-2026,NISHA CONST PROP MACHINDRA M PUJARI,Payment Success,1000000
9295,Odisha,Construction of community centers and community halls,WS/MP18358/2025-2026/187858,GANJAM(DISTRICT COLLECTOR GANJAM_IDA),ANITA SUBHADARSHINI,ASKA,21-May-2026,DURYODHAN BEHERA,Payment Success,200000
9296,Himachal Pradesh,Development of playfields and sports grounds,WS/MP18328/2025-2026/252741,KINNAUR(DEPUTY COMMISSIONER KINNAUR_IDA),Kangana Ranaut,MANDI,16-Apr-2026,Rahul Dev,Payment Success,19425
9297,Himachal Pradesh,Development of playfields and sports grounds,WS/MP18328/2025-2026/252741,KINNAUR(DEPUTY COMMISSIONER KINNAUR_IDA),Kangana Ranaut,MANDI,16-Apr-2026,Sai Enterprises,Payment Success,19198
9298,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18188/2025-2026/220060,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),KONDA VISHWESHWAR REDDY,CHELVELLA,27-May-2026,MUNAGALA NAVYA,Payment Success,380996
9299,Kerala,Construction of buildings for crèches and anganwadies,WS/MP345/2024-2025/138116,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Shri NK Premachandran,KOLLAM,16-Apr-2026,SARATH S,Payment Success,493113
9300,Jammu And Kashmir,Construction of common work sheds/ common covered sitting area,WS/MP600/2025-2026/237435,UDHAMPUR(Deputy Commissioner Udhampur_IDA),Jitendra Singh,UDHAMPUR,18-Jun-2026,Sanjay Kumar,Payment Success,182000
9301,Jammu And Kashmir,Construction of footpaths and pedestrian ways,WS/MP600/2025-2026/179239,UDHAMPUR(Deputy Commissioner Udhampur_IDA),Jitendra Singh,UDHAMPUR,08-Apr-2026,Jagdev Singh,Payment Success,180000
9302,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18058/2025-2026/245695,VADODARA(DISTRICT COLLECTOR VADODARA_IDA),DR. HEMANG JOSHI,VADODARA,22-Jun-2026,kaushal Devidas Harpalani,Payment Success,815910
9303,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18058/2025-2026/239938,VADODARA(DISTRICT COLLECTOR VADODARA_IDA),DR. HEMANG JOSHI,VADODARA,20-Jul-2026,kaushal Devidas Harpalani,Payment Success,1171648
9304,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18058/2025-2026/179053,VADODARA(DISTRICT COLLECTOR VADODARA_IDA),DR. HEMANG JOSHI,VADODARA,24-Jul-2026,kaushal Devidas Harpalani,Payment Success,596518
9305,Rajasthan,Construction of rooms and halls in school and colleges,WS/MP728/2025-2026/214860,CHURU(DISTRICT COLLECTOR CHURU_IDA),Rahul Kaswan,CHURU,06-Apr-2026,Sunuta,Payment Success,7410
9306,Rajasthan,Construction of rooms and halls in school and colleges,WS/MP728/2025-2026/214860,CHURU(DISTRICT COLLECTOR CHURU_IDA),Rahul Kaswan,CHURU,06-Apr-2026,OMPATI,Payment Success,10545
9307,Rajasthan,Construction of rooms and halls in school and colleges,WS/MP728/2025-2026/214860,CHURU(DISTRICT COLLECTOR CHURU_IDA),Rahul Kaswan,CHURU,06-Apr-2026,AJAY SINGH,Payment Success,33300
9308,Rajasthan,Construction of rooms and halls in school and colleges,WS/MP728/2025-2026/214860,CHURU(DISTRICT COLLECTOR CHURU_IDA),Rahul Kaswan,CHURU,06-Apr-2026,RAJBALA,Payment Success,10545
9309,Rajasthan,Construction of rooms and halls in school and colleges,WS/MP728/2025-2026/214860,CHURU(DISTRICT COLLECTOR CHURU_IDA),Rahul Kaswan,CHURU,06-Apr-2026,AMITA KUMARI FAGERIA,Payment Success,10545
9310,Rajasthan,Construction of rooms and halls in school and colleges,WS/MP728/2025-2026/214860,CHURU(DISTRICT COLLECTOR CHURU_IDA),Rahul Kaswan,CHURU,06-Apr-2026,VIJAY PAL,Payment Success,1800
